experiment,replicate,inhibitor,unit,concentration,Haploid,Diploid,Tetraploid
3,5,GSK-923295,nM,0.610351563,1.08318264,0.994714588,1.039987974
3,5,GSK-923295,nM,0.305175781,0.985533454,1.043340381,1.049007817
3,6,GSK-923295,nM,625,0.060623229,0.045686901,0.042430879
3,6,GSK-923295,nM,312.5,0.057223796,0.036102236,0.047358336
3,6,GSK-923295,nM,156.25,0.07082153,0.036102236,0.047358336
3,6,GSK-923295,nM,78.125,0.145609065,0.047603834,0.050643307
3,6,GSK-923295,nM,39.0625,0.492351275,0.210543131,0.044073364
3,6,GSK-923295,nM,19.53125,0.808498584,0.57284345,0.464549685
3,6,GSK-923295,nM,9.765625,0.92407932,0.952396166,0.835751437
3,6,GSK-923295,nM,4.8828125,0.879886686,1.052076677,0.865316178
3,6,GSK-923295,nM,2.44140625,0.981869688,1.00798722,0.977005201
3,6,GSK-923295,nM,1.220703125,0.954674221,1.02715655,0.927730632
3,6,GSK-923295,nM,0.610351563,0.958073654,0.902555911,0.916233233
3,6,GSK-923295,nM,0.305175781,0.856090652,0.910223642,0.863673693
4,7,GSK-923295,nM,625,0.067574382,0.047634584,0.031367201
4,7,GSK-923295,nM,312.5,0.058497226,0.037846656,0.033412888
4,7,GSK-923295,nM,156.25,0.076651538,0.055464927,0.049778384
4,7,GSK-923295,nM,78.125,0.146243066,0.059380098,0.039549949
4,7,GSK-923295,nM,39.0625,0.524457892,0.343230016,0.041595636
4,7,GSK-923295,nM,19.53125,0.721129602,0.969657423,0.610296625
4,7,GSK-923295,nM,9.765625,1.014624307,0.910929853,0.878281623
4,7,GSK-923295,nM,4.8828125,0.969238527,1.091027732,0.933515172
4,7,GSK-923295,nM,2.44140625,1.020675744,1.161500816,1.019434027
4,7,GSK-923295,nM,1.220703125,0.954109934,1.053833605,1.062393454
4,7,GSK-923295,nM,0.610351563,1.07211296,1.153670473,1.056256393
4,7,GSK-923295,nM,0.305175781,1.075138679,1.186949429,1.131946812
4,8,GSK-923295,nM,625,0.107473749,0.027915633,0.052272727
4,8,GSK-923295,nM,312.5,0.107473749,0.035359801,0.054545455
4,8,GSK-923295,nM,156.25,0.126003706,0.057692308,0.061363636
4,8,GSK-923295,nM,78.125,0.159357628,0.065136476,0.052272727
4,8,GSK-923295,nM,39.0625,0.518838789,0.30707196,0.061363636
4,8,GSK-923295,nM,19.53125,0.693020383,0.699751861,0.495454545
4,8,GSK-923295,nM,9.765625,1.078443484,0.727667494,0.863636364
4,8,GSK-923295,nM,4.8828125,0.941321804,0.904466501,0.972727273
4,8,GSK-923295,nM,2.44140625,1.108091414,1.01426799,1.081818182
4,8,GSK-923295,nM,1.220703125,1.085855466,0.921215881,1.047727273
4,8,GSK-923295,nM,0.610351563,1.237801112,0.921215881,1.122727273
4,8,GSK-923295,nM,0.305175781,1.17850525,1.023573201,1.038636364
